sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count
2046,82398374,36005,53520,-1,1,0
2047,82438374,36002,53501,-1,1,0
2048,82478374,36002,53548,-1,1,0
2049,82518374,36000,53563,-1,1,0
2050,82558374,36000,53573,-1,1,0
2051,82598374,35999,53556,-1,1,0
2052,82638374,35925,53319,-1,1,0
2053,82678374,35807,52969,-1,1,0
2054,82718374,35776,52830,-1,1,0
2055,82758374,35755,52795,-1,1,0
2056,82798374,35745,52774,-1,1,0
2057,82838374,35742,52807,-1,1,0
2058,82878374,35767,52853,-1,1,0
2059,82918374,35763,52848,-1,1,0
2060,82958374,35748,52811,-1,1,0
2061,82998374,35745,52825,-1,1,0
2062,83038374,35763,52856,-1,1,0
2063,83078374,35781,52928,-1,1,0
2064,83118374,35780,52950,-1,1,0
2065,83158374,35771,52944,-1,1,0
2066,83198374,35773,52975,-1,1,0
2067,83238374,35787,53023,-1,1,0
2068,83278374,35802,53069,-1,1,0
2069,83318374,35771,52979,-1,1,0
2070,83358374,35660,52609,-1,1,0
2071,83398374,35576,52346,-1,1,0
2072,83438374,35555,52248,-1,1,0
2073,83478374,35545,52218,-1,1,0
2074,83518374,35544,52227,-1,1,0
2075,83558374,35572,52322,-1,1,0
2076,83598374,35591,52387,-1,1,0
2077,83638374,35589,52364,-1,1,0
2078,83678374,35584,52351,-1,1,0
2079,83718374,35581,52369,-1,1,0
2080,83758374,35603,52454,-1,1,0
2081,83798374,35620,52505,-1,1,0
2082,83838374,35629,52546,-1,1,0
2083,83878374,35632,52570,-1,1,0
2084,83918374,35650,52636,-1,1,0
2085,83958374,35664,52709,-1,1,0
2086,83998374,35713,52808,-1,1,0
2087,84038374,35700,52787,-1,1,0
2088,84078374,35615,52477,-1,1,0
2089,84118374,35546,52269,-1,1,0
2090,84158374,35545,52260,-1,1,0
2091,84198374,35544,52309,-1,1,0
2092,84238374,35561,52364,-1,1,0
2093,84278374,35590,52462,-1,1,0
2094,84318374,35606,52494,-1,1,0
2095,84358374,35605,52501,-1,1,0
2096,84398374,35605,52535,-1,1,0
2097,84438374,35632,52596,-1,1,0
2098,84478374,35662,52709,-1,1,0
2099,84518374,35698,52820,-1,1,0
2100,84558374,35715,52858,-1,1,0
2101,84598374,35730,52913,-1,1,0
2102,84638374,35771,53037,-1,1,0
2103,84678374,35804,53158,-1,1,0
2104,84718374,35850,53290,-1,1,0
2105,84758374,35834,53197,-1,1,0
2106,84798374,35730,52840,-1,1,0
2107,84838374,35672,52673,-1,1,0
2108,84878374,35698,52736,-1,1,0
2109,84918374,35734,52851,-1,1,0
2110,84958374,35771,52973,-1,1,0
2111,84998374,35799,53070,-1,1,0
2112,85038374,35814,53106,-1,1,0
2113,85078374,35811,53098,-1,1,0
2114,85118374,35826,53126,-1,1,0
2115,85158374,35855,53231,-1,1,0
2116,85198374,35874,53325,-1,1,0
2117,85238374,35900,53390,-1,1,0
2118,85278374,35918,53453,-1,1,0
2119,85318374,35933,53504,-1,1,0
2120,85358374,35951,53577,-1,1,0
2121,85398374,35962,53578,-1,1,0
2122,85438374,35887,53333,-1,1,0
2123,85478374,35783,53006,-1,1,0
2124,85518374,35773,52949,-1,1,0
2125,85558374,35798,53033,-1,1,0
2126,85598374,35835,53148,-1,1,0
2127,85638374,35875,53288,-1,1,0
2128,85678374,35888,53329,-1,1,0
2129,85718374,35872,53315,-1,1,0
2130,85758374,35876,53288,-1,1,0
2131,85798374,35890,53361,-1,1,0
2132,85838374,35911,53467,-1,1,0
2133,85878374,35926,53552,-1,1,0
2134,85918374,35950,53632,-1,1,0
2135,85958374,35960,53658,-1,1,0
2136,85998374,35974,53697,-1,1,0
2137,86038374,35966,53691,-1,1,0
2138,86078374,35907,53479,-1,1,0
2139,86118374,35805,53150,-1,1,0
2140,86158374,35777,53099,-1,1,0
2141,86198374,35820,53228,-1,1,0
2142,86238374,35845,53324,-1,1,0
2143,86278374,35863,53405,-1,1,0
2144,86318374,35887,53438,-1,1,0
2145,86358374,35890,53437,-1,1,0
2146,86398374,35883,53423,-1,1,0
2147,86438374,35887,53443,-1,1,0
2148,86478374,35890,53488,-1,1,0
2149,86518374,35906,53517,-1,1,0
2150,86558374,35895,53526,-1,1,0
2151,86598374,35901,53538,-1,1,0
2152,86638374,35899,53554,-1,1,0
