file,window_id,start_sample,end_sample,start_s,end_s,clean_fraction_from_flags,adc_invalid_fraction,rail_fraction,flat_ratio,ecg_morph_rms,ecg_qrs_rms,ecg_qrs_band_ratio,ecg_kurtosis,ecg_skew,qrs_peak_count,reference_good,ecg_good_v01
ecg_raw(8).csv,21,26250,28750,52.5,57.5,0.8416,0.0004,0.0004,0.023209283713485393,78.40090793221363,49.99154682017007,0.9498483102587969,74.76576208262888,7.28578090646167,14,True,True
ecg_raw(8).csv,22,27500,30000,55.0,60.0,0.836,0.0004,0.0004,0.01800720288115246,101.53095288938961,63.326360713944204,0.9551310671304922,45.50348578314729,5.354798527308894,14,True,True
ecg_raw(9).csv,0,0,2500,0.0,5.0,0.5544,0.2372,0.7944,0.14285714285714285,513.7461816741481,113.97988505000805,0.9734516282338508,9.568334914937044,2.065040488472018,12,False,False
ecg_raw(9).csv,1,1250,3750,2.5,7.5,0.6832,0.0616,0.5772,0.07563025210084033,31.667007443197004,16.934688348746025,0.9482040567220794,6.0884704207213725,1.526796050331892,15,False,False
ecg_raw(9).csv,2,2500,5000,5.0,10.0,0.724,0.0068,0.1752,0.06722689075630252,20.481767822132664,12.51921896476355,0.9709595904803339,7.8004769787007975,1.7868842095023247,14,False,False
ecg_raw(9).csv,3,3750,6250,7.5,12.5,0.7324,0.002,0.0044,0.06162464985994398,15.284832685805528,8.402542253707416,0.9639772187942787,14.498340796066705,2.7379304258615935,14,False,False
ecg_raw(9).csv,4,5000,7500,10.0,15.0,0.7264,0.0048,0.2592,0.07042817126850741,21.418027982163405,12.102390134790818,0.9775786731796001,7.765688933113366,1.533509924159753,13,False,False
ecg_raw(9).csv,5,6250,8750,12.5,17.5,0.688,0.0532,0.6516,0.0740296118447379,50.891826306673664,30.993064153251186,0.9648254445864674,14.72379962521437,2.636423699032861,14,False,False
ecg_raw(9).csv,6,7500,10000,15.0,20.0,0.632,0.1296,0.7868,0.07362945178071229,64.46862026188727,40.48094325754401,0.9639648076993834,8.367045339559095,1.970661562838372,15,False,False
ecg_raw(9).csv,7,8750,11250,17.5,22.5,0.444,0.3696,0.7576,0.23729491796718688,73.81524185738553,49.6460421219703,0.9698286739784177,5.5325751270069645,1.325685637130254,15,False,False
ecg_raw(9).csv,8,10000,12500,20.0,25.0,0.2988,0.5388,0.6944,0.3581432573029212,94.44775391297132,64.51551264238365,0.9706460162752286,4.130088011272045,1.0526185531894345,14,False,False
ecg_raw(9).csv,9,11250,13750,22.5,27.5,0.2804,0.5652,0.702,0.39095638255302123,98.63579183493299,64.83311982068865,0.9593801440155504,3.8575222708543553,1.1224905197395236,15,False,False
ecg_raw(9).csv,10,12500,15000,25.0,30.0,0.274,0.5736,0.6884,0.40856342537014806,105.12099529516814,68.63817252371416,0.9577030101586492,3.654942769259573,0.8925843659993239,15,False,False
ecg_raw(9).csv,11,13750,16250,27.5,32.5,0.3224,0.4816,0.5616,0.3385354141656663,134.46797801978406,85.26807581510215,0.9647592185481675,4.074185225684571,0.502841574935371,15,False,False
ecg_raw(9).csv,12,15000,17500,30.0,35.0,0.3964,0.3672,0.3972,0.250500200080032,155.77363791810578,92.85098990526308,0.9650426824968337,4.568763390643423,-0.17704982100866348,15,False,False
ecg_raw(9).csv,13,16250,18750,32.5,37.5,0.552,0.1988,0.2088,0.11444577831132453,149.01419416864152,88.52229067241127,0.9732063710933561,4.925491112745575,-0.6620430480314745,14,False,False
ecg_raw(9).csv,14,17500,20000,35.0,40.0,0.698,0.0604,0.0624,0.025610244097639057,144.84516814227797,90.52417837411393,0.9622823894027489,8.699858296672767,-1.3951881720834558,16,False,False
ecg_raw(9).csv,15,18750,21250,37.5,42.5,0.7492,0.0084,0.0084,0.004801920768307323,160.35401069165243,100.66768080699137,0.963287557394394,11.597145251336386,-1.789333284614743,15,False,False
ecg_raw(9).csv,16,20000,22500,40.0,45.0,0.7504,0.0056,0.0056,0.004001600640256103,150.0991088778057,93.75303920472692,0.9558554366077828,13.619789978869402,-2.041922135317192,14,False,False
ecg_raw(9).csv,17,21250,23750,42.5,47.5,0.7492,0.0076,0.0076,0.005202080832332933,134.22472469882487,80.4264822928097,0.9553298452093325,12.462741431177816,-2.0505240132845493,14,False,False
ecg_raw(9).csv,18,22500,25000,45.0,50.0,0.748,0.008,0.008,0.003601440576230492,145.62258526089767,86.2351632518009,0.9603003949992164,11.527150660826749,-1.9403983746103892,14,False,False
ecg_raw(9).csv,19,23750,26250,47.5,52.5,0.7536,0.0036,0.0036,0.0024009603841536613,154.23157283478008,93.4933156315426,0.9608709751055148,16.051738570701126,-2.645212978145296,15,False,False
ecg_raw(9).csv,20,25000,27500,50.0,55.0,0.726,0.0412,0.0432,0.01600640256102441,148.2779126740206,88.66996933852175,0.9735117231544692,18.401946741959485,-2.851283099274807,15,False,False
ecg_raw(9).csv,21,26250,28750,52.5,57.5,0.6628,0.1172,0.1208,0.04321728691476591,153.21733463164517,86.28259046154307,0.9591302385069632,16.680783771508686,-2.6731112959428027,14,False,False
ecg_raw(9).csv,22,27500,30000,55.0,60.0,0.618,0.1716,0.174,0.07643057222889156,163.12335137828939,90.34927480965864,0.9573757958357182,14.095838919372143,-2.4876812674411033,14,False,False
