time_s,sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count,slot0_dc,slot0_ac,slot1_dc,slot1_ac,slot0_peak,slot1_peak
2.76,1795,72358374,36297,52828,-1,1,0,36362.6061872445,-59.23494059992937,53054.70090031822,-205.93721535538742,0,0
2.8,1796,72398374,36221,52634,-1,1,0,36365.826607202536,-140.48556184208505,53075.38145880578,-444.83923151026687,0,0
2.84,1797,72438374,36204,52581,-1,1,0,36369.585682317826,-169.14618408589553,53097.175811547524,-520.605575495543,0,0
2.88,1798,72478374,36221,52655,-1,1,0,36373.88792049194,-139.9896491007193,53120.179946863136,-442.127723981062,0,0
2.92,1799,72518374,36310,52888,-1,1,0,36378.701501047355,-72.19854413917646,53144.37694508259,-263.40010822889656,0,0
2.96,1800,72558374,36356,53037,-1,1,0,36383.962840542394,-21.265862373131938,53169.648745952705,-116.54249329675804,0,0
3.0,1801,72598374,36373,53111,-1,1,0,36389.58770875583,-12.73383675977962,53195.806305400765,-77.46808807496552,0,0
3.04,1802,72638374,36372,53124,-1,1,0,36395.48113828697,-18.77280983243415,53222.61789367402,-87.78559968796122,0,0
3.08,1803,72678374,36384,53171,-1,1,0,36401.54202708114,-13.792962214138527,53249.82406305588,-60.4374615480136,0,0
3.12,1804,72718374,36408,53286,-1,1,0,36407.66449389039,6.2840545943903265,53277.1439006271,14.58649646923925,0,0
3.16,1805,72758374,36443,53380,-1,1,0,36413.73975638584,31.970187665672576,53304.283315588975,93.12963692576986,0,0
3.2,1806,72798374,36467,53479,-1,1,0,36419.66017198528,53.5004788091761,53330.949629430084,164.2334309857879,0,0
3.24,1807,72838374,36490,53566,-1,1,0,36425.3245751094,68.84501684318063,53356.869156641915,220.9100152372355,0,0
3.28,1808,72878374,36505,53617,-1,1,0,36430.64330775744,77.00233357236368,53381.803804923424,245.2765454699406,0,0
3.32,1809,72918374,36516,53661,-1,1,0,36435.54213775237,85.68166510896486,53405.56434860032,275.5674398607509,0,0
3.36,1810,72958374,36529,53716,-1,1,0,36439.96505530486,94.82792100422645,53428.01961856844,302.4529093275061,1,1
3.4,1811,72998374,36514,53650,-1,1,0,36443.87596615422,67.30607350181316,53449.101670712065,193.93800968485374,0,0
3.44,1812,73038374,36439,53405,-1,1,0,36447.257618687654,-3.07077477556912,53468.80091736055,-40.22344869877921,0,0
3.48,1813,73078374,36394,53288,-1,1,0,36450.104797388165,-50.58895787730681,53487.141588221086,-189.59794709119757,0,0
3.52,1814,73118374,36413,53328,-1,1,0,36452.413166532075,-44.21996255459888,53504.143777615216,-183.99656980362494,0,0
3.56,1815,73158374,36431,53390,-1,1,0,36454.17086423777,-17.6985113565336,53519.79493564311,-113.010008883432,0,0
3.6,1816,73198374,36463,53514,-1,1,0,36455.35734559006,7.389781029887988,53534.04402521533,-20.313084192779613,0,0
3.64,1817,73238374,36484,53603,-1,1,0,36455.947456846014,27.00450258549418,53546.81327254746,58.53095020202059,0,0
3.68,1818,73278374,36490,53638,-1,1,0,36455.91698515222,38.40070007544257,53558.016899846865,84.87835891968825,0,0
3.72,1819,73318374,36501,53655,-1,1,0,36455.24732358496,41.53628134040713,53567.57750381845,87.65867369302842,0,0
3.76,1820,73358374,36490,53678,-1,1,0,36453.92837961598,39.47561931027908,53575.43549318265,109.97198348210897,0,0
3.8,1821,73398374,36494,53724,-1,1,0,36451.95985664399,41.73269537478319,53581.5540475626,137.72364314610496,0,0
3.84,1822,73438374,36497,53722,-1,1,0,36449.35163166821,45.695652794788245,53585.92377962275,141.37295799997958,1,0
3.88,1823,73478374,36486,53722,-1,1,0,36446.12412218065,42.16331786215052,53588.56710910502,134.85727554503248,0,0
3.92,1824,73518374,36481,53728,-1,1,0,36442.30853008242,36.003523997558005,53589.5403137869,136.50161333387302,0,0
3.96,1825,73558374,36474,53742,-1,1,0,36437.946440446445,36.59318780600391,53588.934050529206,151.37166019286423,0,0
4.0,1826,73598374,36479,53768,-1,1,0,36433.08930005153,45.36168030312463,53586.87491738412,187.02113738280397,0,1
4.04,1827,73638374,36474,53769,-1,1,0,36427.79859570804,44.41419939815813,53583.52892689182,178.02356736997956,0,0
4.08,1828,73678374,36437,53626,-1,1,0,36422.14612408984,12.33901771941597,53579.10323919292,36.226672935485084,0,0
4.12,1829,73718374,36380,53410,-1,1,0,36416.21183081853,-36.11228305357099,53573.836571591404,-153.86525222056534,0,0
4.16,1830,73758374,36348,53340,-1,1,0,36410.07743064087,-65.06013349508109,53567.97267186253,-240.80283084889987,0,0
4.2,1831,73798374,36338,53337,-1,1,0,36403.81796724624,-66.77541350885912,53561.72792274202,-232.8831975848291,0,0
4.24,1832,73838374,36342,53352,-1,1,0,36397.49561753879,-59.9191527913667,53555.2704741938,-202.02472294516843,0,0
4.28,1833,73878374,36336,53395,-1,1,0,36391.15757109855,-54.031961605481484,53548.715348412785,-166.59325149322012,0,0
4.32,1834,73918374,36343,53405,-1,1,0,36384.83659076727,-46.603291282526584,53542.12902099786,-135.9900361725934,0,0
4.36,1835,73958374,36340,53433,-1,1,0,36378.552519029734,-37.95304996130418,53535.53705653079,-113.03747162656911,0,0
4.4,1836,73998374,36349,53450,-1,1,0,36372.31415775734,-26.826560611723433,53528.931647431724,-77.98572136152609,0,0
4.44,1837,74038374,36353,53504,-1,1,0,36366.12153177177,-11.365593371544335,53522.279111408105,-21.820513094215656,0,0
4.48,1838,74078374,36364,53550,-1,1,0,36359.96864341135,0.05201225637972229,53515.52916594903,29.52591313034479,0,0
4.52,1839,74118374,36361,53575,-1,1,0,36353.84656107307,7.547667923301923,53508.6264571723,67.50961770682588,0,0
4.56,1840,74158374,36370,53618,-1,1,0,36347.746341485654,25.699831185382134,53501.52247407922,119.66719728805928,0,0
4.6,1841,74198374,36398,53685,-1,1,0,36341.66203826676,48.281858080919896,53494.18710855797,181.59033807539618,0,0
4.64,1842,74238374,36393,53716,-1,1,0,36335.594738681655,65.40538755277416,53486.62145426904,238.28206480592837,0,0
4.68,1843,74278374,36405,53733,-1,1,0,36329.55711255919,73.01461840749792,53478.87123932188,258.50710602502227,1,1
4.72,1844,74318374,36367,53630,-1,1,0,36323.576514079825,39.15581533271431,53471.03595550981,140.8132835986566,0,0
4.76,1845,74358374,36281,53356,-1,1,0,36317.694016391695,-31.297322570822942,53463.264631325335,-91.92637372654218,0,0
